# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 61500  0.47668E-07    76
 61600  0.57262E-07    80
 61700  0.69290E-07    86
 61800  0.10279E-06   102
 61900  0.15010E-06   127
 62000  0.22044E-06   159
 62100  0.33104E-06   214
 62200  0.70539E-06   261
 62300  0.61057E-06   310
 62400  0.79619E-06   291
 62500  0.10697E-05   279
 62600  0.92587E-06   304
 62700  0.19910E-05   321
 62800  0.17438E-05   357
 62900  0.96381E-06   443
 63000  0.73242E-06   544
 63100  0.25520E-06    75
 63200  0.25207E-06    75
 63300  0.23028E-06    75
 63400  0.22137E-06    75
 63500  0.19670E-06    75
 63600  0.17244E-06    75
 63700  0.14375E-06    75
 63800  0.11794E-06    75
 63900  0.10170E-06    76
 64000  0.80076E-07    76
 64100  0.66225E-07    76
 64200  0.56990E-07    77
 64300  0.57870E-07    77
 64400  0.71610E-07    77
 64500  0.93287E-07    76
 64600  0.11851E-06    76
 64700  0.13643E-06    77
 64800  0.16207E-06    77
 64900  0.18880E-06    77
 65000  0.22665E-06    77
 65100  0.25478E-06    77
 65200  0.29050E-06    77
 65300  0.32532E-06    78
 65400  0.36381E-06    78
 65500  0.40650E-06    78
 65600  0.42019E-06    79
 65700  0.45880E-06    80
 65800  0.49966E-06    80
 65900  0.57832E-06    80
 66000  0.64755E-06    81
 66100  0.71462E-06    81
 66200  0.75075E-06    81
 66300  0.86484E-06    82
 66400  0.93998E-06    81
 66500  0.10289E-05    81
 66600  0.11015E-05    82
 66700  0.11759E-05    82
 66800  0.12505E-05    81
 66900  0.12377E-05    81
 67000  0.12479E-05    81
 67100  0.12634E-05    81
 67200  0.12171E-05    82
 67300  0.11435E-05    82
 67400  0.10549E-05    82
 67500  0.89416E-06    83
 67600  0.77021E-06    83
 67700  0.69396E-06    83
 67800  0.57282E-06    83
 67900  0.54955E-06    84
 68000  0.59770E-06    84
 68100  0.72245E-06    83
 68200  0.85755E-06    83
 68300  0.10076E-05    83
 68400  0.11121E-05    83
 68500  0.12801E-05    83
 68600  0.14497E-05    83
 68700  0.16123E-05    83
 68800  0.18011E-05    83
 68900  0.20473E-05    82
 69000  0.23888E-05    82
 69100  0.25816E-05    82
 69200  0.28171E-05    82
 69300  0.31169E-05    81
 69400  0.31538E-05    81
 69500  0.32904E-05    81
 69600  0.33775E-05    81
 69700  0.34486E-05    80
 69800  0.36068E-05    80
 69900  0.34944E-05    80
 70000  0.35223E-05    80
 70100  0.36528E-05    80
 70200  0.36384E-05    80
 70300  0.35549E-05    80
 70400  0.34339E-05    80
 70500  0.32049E-05    80
 70600  0.30709E-05    79
 70700  0.30730E-05    79
 70800  0.28679E-05    79
 70900  0.28830E-05    79
 71000  0.27842E-05    78
 71100  0.26276E-05    78
 71200  0.26146E-05    78
 71300  0.24173E-05    78
 71400  0.22984E-05    78
 71500  0.21658E-05    78
 71600  0.20718E-05    78
 71700  0.18737E-05    78
 71800  0.17880E-05    78
 71900  0.16225E-05    78
 72000  0.15194E-05    78
 72100  0.13946E-05    77
 72200  0.12458E-05    78
 72300  0.11789E-05    77
 72400  0.10496E-05    77
 72500  0.99303E-06    77
 72600  0.90225E-06    76
 72700  0.80873E-06    76
 72800  0.74748E-06    76
 72900  0.67381E-06    76
 73000  0.61266E-06    76
 73100  0.55407E-06    75
 73200  0.49555E-06    75
 73300  0.43242E-06    75
 73400  0.36785E-06    75
 73500  0.30116E-06    75
 73600  0.24128E-06    75
 73700  0.18364E-06    75
 73800  0.13102E-06    74
 73900  0.12855E-06    74
 74000  0.15500E-06    74
 74100  0.19664E-06    73
 74200  0.24706E-06    74
 74300  0.31369E-06    73
 74400  0.36348E-06    74
 74500  0.41432E-06    74
 74600  0.43857E-06    74
 74700  0.45813E-06    74
 74800  0.45478E-06    74
 74900  0.46600E-06    73
 75000  0.45039E-06    73
 75100  0.42128E-06    74
 75200  0.41025E-06    73
 75300  0.37948E-06    73
 75400  0.34969E-06    73
 75500  0.31641E-06    73
 75600  0.27397E-06    73
 75700  0.24486E-06    73
 75800  0.20458E-06    73
 75900  0.17920E-06    73
 76000  0.14250E-06    73
 76100  0.12859E-06    72
 76200  0.10734E-06    73
 76300  0.99244E-07    73
 76400  0.98339E-07    73
 76500  0.98622E-07    73
 76600  0.97093E-07    73
 76700  0.99346E-07    73
 76800  0.10829E-06    73
 76900  0.11317E-06    73
 77000  0.12040E-06    73
 77100  0.12247E-06    73
 77200  0.13045E-06    73
 77300  0.14241E-06    73
 77400  0.14826E-06    73
 77500  0.15775E-06    73
 77600  0.17173E-06    73
 77700  0.17655E-06    73
 77800  0.19132E-06    72
 77900  0.19908E-06    72
 78000  0.20165E-06    73
 78100  0.21005E-06    73
 78200  0.22457E-06    73
 78300  0.23583E-06    73
 78400  0.23333E-06    73
 78500  0.23729E-06    73
 78600  0.25008E-06    73
 78700  0.24550E-06    73
 78800  0.25820E-06    73
 78900  0.26652E-06    73
 79000  0.26673E-06    74
 79100  0.27853E-06    74
 79200  0.29060E-06    74
 79300  0.30405E-06    74
 79400  0.32805E-06    75
 79500  0.34258E-06    74
 79600  0.34785E-06    75
 79700  0.38056E-06    75
 79800  0.38489E-06    75
 79900  0.40266E-06    75
 80000  0.42086E-06    76
 80100  0.42326E-06    76
 80200  0.42453E-06    76
 80300  0.43407E-06    76
 80400  0.41658E-06    76
 80500  0.41634E-06    75
 80600  0.39464E-06    75
 80700  0.38433E-06    75
 80800  0.37033E-06    76
 80900  0.34937E-06    76
 81000  0.34980E-06    76
 81100  0.34518E-06    76
 81200  0.32752E-06    77
 81300  0.32590E-06    77
 81400  0.34633E-06    77
 81500  0.33508E-06    78
 81600  0.34718E-06    79
 81700  0.36402E-06    79
 81800  0.38511E-06    80
 81900  0.41160E-06    81
 82000  0.44211E-06    83
 82100  0.48446E-06    85
 82200  0.54227E-06    88
 82300  0.61586E-06    91
 82400  0.74224E-06    97
 82500  0.82768E-06   105
 82600  0.97520E-06   114
 82700  0.12125E-05   125
 82800  0.13024E-05   138
 82900  0.15480E-05   163
 83000  0.18937E-05   194
 83100  0.12667E-06    87
 83200  0.10568E-06    86
 83300  0.99800E-07    83
 83400  0.87645E-07    82
 83500  0.85696E-07    82
 83600  0.87335E-07    82
 83700  0.82004E-07    82
 83800  0.80640E-07    82
 83900  0.82056E-07    82
 84000  0.78124E-07    81
 84100  0.71223E-07    81
 84200  0.67597E-07    80
 84300  0.63503E-07    80
 84400  0.62198E-07    79
 84500  0.59271E-07    78
 84600  0.54427E-07    78
 84700  0.52196E-07    78
 84800  0.51267E-07    78
 84900  0.50600E-07    78
 85000  0.50078E-07    78
 85100  0.50335E-07    78
 85200  0.52186E-07    78
 85300  0.51038E-07    78
 85400  0.54064E-07    78
 85500  0.53222E-07    78
 85600  0.56003E-07    78
 85700  0.55215E-07    78
 85800  0.56108E-07    79
