# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
0.1975, 6.191, 8.49e-2, 6.21e-3
1.462, 312.1, 1173.25, 85.88
0.1985, 6.187, 9.10e-2, 6.66e-3
1.464, 310.5, 1173.87, 85.93
0.1995, 6.664, 9.75e-2, 7.14e-3
1.466, 310.8, 1174.49, 85.97
0.2005, 7.326, 0.104, 7.65e-3
1.468, 311.4, 1175.12, 86.02
0.2015, 8.023, 0.112, 8.21e-3
1.470, 310.2, 1175.74, 86.07
0.2025, 8.261, 0.120, 8.81e-3
1.472, 307.3, 1176.35, 86.11
0.2035, 9.217, 0.129, 9.44e-3
1.474, 303.4, 1176.96, 86.16
0.2045, 10.25, 0.139, 1.02e-2
1.476, 304.8, 1177.57, 86.20
0.2055, 10.54, 0.149, 1.09e-2
1.478, 304.4, 1178.18, 86.24
0.2065, 11.08, 0.160, 1.17e-2
1.480, 306.8, 1178.79, 86.29
0.2075, 12.65, 0.172, 1.26e-2
1.482, 304.4, 1179.40, 86.33
0.2085, 15.05, 0.186, 1.36e-2
1.484, 303.9, 1180.01, 86.38
0.2095, 21.38, 0.204, 1.49e-2
1.486, 303.3, 1180.62, 86.42
0.2105, 27.92, 0.229, 1.67e-2
1.488, 285.5, 1181.21, 86.47
0.2115, 33.54, 0.259, 1.90e-2
1.490, 301.5, 1181.80, 86.51
0.2125, 31.30, 0.292, 2.14e-2
1.492, 301.8, 1182.40, 86.55
0.2135, 33.15, 0.324, 2.37e-2
1.494, 303.3, 1183.00, 86.60
0.2145, 40.03, 0.360, 2.64e-2
1.496, 297.2, 1183.60, 86.64
0.2155, 36.15, 0.399, 2.92e-2
1.498, 299.4, 1184.20, 86.68
0.2165, 32.27, 0.433, 3.17e-2
1.500, 301.1, 1184.80, 86.73
0.2175, 35.29, 0.467, 3.42e-2
1.502, 292.4, 1185.40, 86.77
0.2185, 44.37, 0.506, 3.71e-2
1.504, 279.9, 1185.97, 86.81
0.2195, 46.92, 0.552, 4.04e-2
1.506, 284.8, 1186.53, 86.86
0.2205, 47.33, 0.599, 4.39e-2
1.508, 291.9, 1187.11, 86.90
0.2215, 39.58, 0.643, 4.70e-2
1.510, 294.7, 1187.70, 86.94
0.2225, 49.65, 0.687, 5.03e-2
1.512, 291.3, 1188.28, 86.98
0.2235, 63.01, 0.744, 5.44e-2
1.514, 288.3, 1188.86, 87.03
0.2245, 58.97, 0.805, 5.89e-2
1.516, 288.2, 1189.44, 87.07
0.2255, 52.29, 0.860, 6.30e-2
1.518, 288.4, 1190.01, 87.11
0.2265, 39.40, 0.906, 6.63e-2
1.520, 286.6, 1190.59, 87.15
0.2275, 39.92, 0.946, 6.92e-2
1.522, 282.4, 1191.16, 87.19
0.2285, 51.95, 0.992, 7.26e-2
1.524, 283.5, 1191.72, 87.24
0.2295, 47.71, 1.04, 7.62e-2
1.526, 284.6, 1192.29, 87.28
0.2305, 52.12, 1.09, 7.99e-2
1.528, 284.6, 1192.86, 87.32
0.2315, 50.97, 1.14, 8.37e-2
1.530, 276.5, 1193.42, 87.36
