# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
0.926, 861.2, 888.20, 65.02
3.74, 11.08, 1351.78, 98.95
0.928, 876.9, 889.94, 65.14
3.76, 10.96, 1352.00, 98.97
0.930, 867.7, 891.68, 65.27
3.78, 10.78, 1352.22, 98.98
0.932, 865.1, 893.41, 65.40
3.80, 10.57, 1352.43, 99.000
0.934, 864.1, 895.14, 65.53
3.82, 10.38, 1352.64, 99.015
0.936, 854.7, 896.86, 65.65
3.84, 10.19, 1352.85, 99.030
0.938, 858.0, 898.57, 65.78
3.86, 9.983, 1353.05, 99.045
0.940, 843.8, 900.28, 65.90
3.88, 9.782, 1353.25, 99.059
0.942, 825.0, 901.94, 66.02
3.90, 9.599, 1353.44, 99.073
0.944, 832.4, 903.60, 66.14
3.92, 9.427, 1353.63, 99.087
0.946, 837.5, 905.27, 66.27
3.94, 9.233, 1353.82, 99.101
0.948, 840.7, 906.95, 66.39
3.96, 9.032, 1354.00, 99.114
0.950, 836.9, 908.63, 66.51
3.98, 8.857, 1354.18, 99.128
0.952, 831.7, 910.30, 66.63
4.00, 8.669, 1354.36, 99.140
0.954, 808.0, 911.94, 66.75
4.02, 8.557, 1354.53, 99.153
0.956, 808.2, 913.55, 66.87
4.04, 8.385, 1354.70, 99.165
0.958, 818.8, 915.18, 66.99
4.06, 8.217, 1354.86, 99.178
0.960, 815.1, 916.81, 67.11
4.08, 8.054, 1355.03, 99.189
0.962, 808.9, 918.44, 67.23
4.10, 7.894, 1355.19, 99.201
0.964, 801.3, 920.05, 67.35
4.12, 7.739, 1355.34, 99.213
0.966, 794.7, 921.64, 67.47
4.14, 7.587, 1355.50, 99.224
0.968, 796.9, 923.23, 67.58
4.16, 7.439, 1355.65, 99.235
0.970, 795.9, 924.83, 67.70
4.18, 7.294, 1355.79, 99.246
0.972, 793.6, 926.42, 67.81
4.20, 7.153, 1355.94, 99.256
0.974, 781.5, 927.99, 67.93
4.22, 7.015, 1356.08, 99.266
0.976, 782.5, 929.56, 68.04
4.24, 6.881, 1356.22, 99.277
0.978, 777.9, 931.12, 68.16
4.26, 6.749, 1356.35, 99.287
0.980, 774.6, 932.67, 68.27
4.28, 6.621, 1356.49, 99.296
0.982, 776.4, 934.22, 68.39
4.30, 6.496, 1356.62, 99.306
0.984, 769.8, 935.77, 68.50
4.32, 6.374, 1356.75, 99.315
0.986, 766.1, 937.30, 68.61
4.34, 6.254, 1356.87, 99.325
0.988, 761.5, 938.83, 68.72
4.36, 6.138, 1357.00, 99.334
0.990, 754.1, 940.34, 68.83
4.38, 6.024, 1357.12, 99.343
0.992, 756.7, 941.86, 68.94
4.40, 5.913, 1357.24, 99.351
0.994, 755.6, 943.37, 69.06
4.42, 5.804, 1357.36, 99.360
0.996, 752.5, 944.88, 69.17
4.44, 5.698, 1357.47, 99.368
0.998, 751.0, 946.38, 69.28
4.46, 5.594, 1357.58, 99.377
1.000, 747.9, 947.88, 69.39
4.48, 5.492, 1357.70, 99.385
1.002, 746.9, 949.37, 69.50
4.50, 5.393, 1357.80, 99.393
1.004, 726.1, 950.85, 69.60
4.52, 5.296, 1357.91, 99.401
1.006, 713.6, 952.29, 69.71
4.54, 5.201, 1358.02, 99.408
1.008, 733.5, 953.73, 69.81
4.56, 5.108, 1358.12, 99.416
1.010, 731.3, 955.20, 69.92
4.58, 5.018, 1358.22, 99.423
1.012, 726.2, 956.66, 70.03
4.60, 4.929, 1358.32, 99.430
1.014, 721.0, 958.10, 70.13
4.62, 4.842, 1358.42, 99.438
1.016, 713.9, 959.54, 70.24
4.64, 4.757, 1358.51, 99.445
1.018, 710.7, 960.96, 70.34
4.66, 4.674, 1358.61, 99.452
1.020, 704.1, 962.38, 70.45
4.68, 4.593, 1358.70, 99.458
1.022, 702.1, 963.78, 70.55
4.70, 4.514, 1358.79, 99.465
1.024, 705.4, 965.19, 70.65
4.72, 4.436, 1358.88, 99.472
1.026, 702.7, 966.60, 70.76
4.74, 4.360, 1358.97, 99.478
1.028, 698.9, 968.00, 70.86
4.76, 4.285, 1359.06, 99.484
1.030, 693.7, 969.39, 70.96
4.78, 4.212, 1359.14, 99.491
1.032, 690.5, 970.78, 71.06
4.80, 4.141, 1359.22, 99.497
1.034, 681.7, 972.15, 71.16
4.82, 4.071, 1359.31, 99.503
1.036, 684.0, 973.52, 71.26
4.84, 4.003, 1359.39, 99.509
1.038, 677.2, 974.88, 71.36
4.86, 3.936, 1359.47, 99.514
1.040, 676.1, 976.23, 71.46
4.88, 3.870, 1359.54, 99.520
1.042, 674.6, 977.58, 71.56
4.90, 3.806, 1359.62, 99.526
1.044, 671.4, 978.93, 71.66
4.92, 3.743, 1359.70, 99.531
1.046, 660.0, 980.26, 71.76
4.94, 3.681, 1359.77, 99.537
1.048, 664.4, 981.58, 71.85
4.96, 3.621, 1359.84, 99.542
1.050, 662.2, 982.91, 71.95
4.98, 3.562, 1359.92, 99.547
1.052, 658.6, 984.23, 72.05
5.00, 3.504, 1359.99, 99.552
1.054, 654.9, 985.54, 72.14
5.05, 3.394, 1360.16, 99.565
1.056, 655.7, 986.85, 72.24
5.10, 3.267, 1360.33, 99.577
1.058, 645.1, 988.15, 72.33
5.15, 3.146, 1360.49, 99.589
1.060, 641.5, 989.44, 72.43
5.20, 3.030, 1360.64, 99.600
1.062, 643.8, 990.73, 72.52
5.25, 2.920, 1360.79, 99.611
1.064, 645.9, 992.02, 72.62
5.30, 2.815, 1360.93, 99.622
1.066, 639.5, 993.30, 72.71
5.35, 2.715, 1361.07, 99.632
1.068, 631.7, 994.57, 72.80
5.40, 2.619, 1361.20, 99.642
1.070, 624.1, 995.83, 72.90
5.45, 2.527, 1361.33, 99.651
1.072, 632.6, 997.09, 72.99
5.50, 2.439, 1361.46, 99.660
1.074, 627.6, 998.35, 73.08
5.55, 2.355, 1361.58, 99.669
1.076, 628.0, 999.60, 73.17
5.60, 2.275, 1361.69, 99.677
1.078, 627.2, 1000.86, 73.26
5.65, 2.198, 1361.80, 99.686
1.080, 624.7, 1002.11, 73.36
5.70, 2.124, 1361.91, 99.693
1.082, 609.9, 1003.34, 73.45
5.75, 2.054, 1362.02, 99.701
1.084, 618.0, 1004.57, 73.54
5.80, 1.986, 1362.12, 99.708
1.086, 620.8, 1005.81, 73.63
5.85, 1.921, 1362.22, 99.716
1.088, 610.3, 1007.04, 73.72
5.90, 1.859, 1362.31, 99.723
1.090, 619.9, 1008.27, 73.81
5.95, 1.799, 1362.40, 99.729
1.092, 615.9, 1009.51, 73.90
6.00, 1.742, 1362.49, 99.736
1.094, 584.9, 1010.71, 73.98
6.05, 1.687, 1362.58, 99.742
1.096, 598.3, 1011.89, 74.07
6.10, 1.634, 1362.66, 99.748
1.098, 596.1, 1013.09, 74.16
6.15, 1.583, 1362.74, 99.754
1.100, 604.2, 1014.29, 74.25
6.20, 1.534, 1362.82, 99.760
1.102, 593.2, 1015.48, 74.33
6.25, 1.487, 1362.89, 99.765
1.104, 597.4, 1016.67, 74.42
6.30, 1.442, 1362.97, 99.771
1.106, 594.5, 1017.87, 74.51
6.35, 1.399, 1363.04, 99.776
1.108, 591.6, 1019.05, 74.60
6.40, 1.357, 1363.11, 99.781
1.110, 590.6, 1020.23, 74.68
6.45, 1.317, 1363.17, 99.786
1.112, 584.3, 1021.41, 74.77
6.50, 1.278, 1363.24, 99.790
1.114, 584.4, 1022.58, 74.85
6.55, 1.240, 1363.30, 99.795
1.116, 583.1, 1023.74, 74.94
6.60, 1.204, 1363.36, 99.800
1.118, 581.5, 1024.91, 75.02
6.65, 1.170, 1363.42, 99.804
1.120, 574.1, 1026.06, 75.11
6.70, 1.136, 1363.48, 99.808
1.122, 579.6, 1027.22, 75.19
6.75, 1.104, 1363.53, 99.812
1.124, 576.9, 1028.38, 75.28
6.80, 1.073, 1363.59, 99.816
1.126, 565.5, 1029.52, 75.36
6.85, 1.043, 1363.64, 99.820
1.128, 570.0, 1030.65, 75.44
6.90, 1.014, 1363.69, 99.824
1.130, 565.3, 1031.79, 75.53
6.95, 0.9862, 1363.74, 99.827
1.132, 567.8, 1032.92, 75.61
7.00, 0.9592, 1363.79, 99.831
1.134, 563.8, 1034.05, 75.69
7.05, 0.9331, 1363.84, 99.834
1.136, 565.8, 1035.18, 75.78
7.10, 0.9080, 1363.89, 99.838
1.138, 556.9, 1036.31, 75.86
7.15, 0.8836, 1363.93, 99.841
1.140, 553.0, 1037.42, 75.94
7.20, 0.8601, 1363.97, 99.844
1.142, 553.1, 1038.52, 76.02
7.25, 0.8374, 1364.02, 99.847
1.144, 551.4, 1039.63, 76.10
7.30, 0.8154, 1364.06, 99.850
1.146, 554.8, 1040.73, 76.18
7.35, 0.7942, 1364.10, 99.853
1.148, 552.5, 1041.84, 76.26
7.40, 0.7736, 1364.14, 99.856
1.150, 548.9, 1042.94, 76.34
7.45, 0.7537, 1364.17, 99.859
1.152, 545.8, 1044.04, 76.42
7.50, 0.7344, 1364.21, 99.862
1.154, 547.9, 1045.13, 76.50
7.55, 0.7158, 1364.25, 99.864
1.156, 545.5, 1046.22, 76.58
7.60, 0.6977, 1364.28, 99.867
1.158, 543.5, 1047.31, 76.66
7.65, 0.6802, 1364.32, 99.870
1.160, 532.0, 1048.39, 76.74
7.70, 0.6633, 1364.35, 99.872
1.162, 532.5, 1049.45, 76.82
7.75, 0.6469, 1364.38, 99.874
1.164, 533.2, 1050.52, 76.90
7.80, 0.6310, 1364.42, 99.877
1.166, 530.3, 1051.58, 76.98
7.85, 0.6156, 1364.45, 99.879
1.168, 531.2, 1052.64, 77.05
7.90, 0.6006, 1364.48, 99.881
1.170, 527.6, 1053.70, 77.13
7.95, 0.5862, 1364.51, 99.883
1.172, 531.5, 1054.76, 77.21
8.00, 0.5721, 1364.54, 99.886
1.174, 527.3, 1055.82, 77.29
8.05, 0.5585, 1364.56, 99.888
1.176, 518.4, 1056.86, 77.36
8.10, 0.5453, 1364.59, 99.890
1.178, 519.0, 1057.90, 77.44
8.15, 0.5324, 1364.62, 99.892
1.180, 523.9, 1058.94, 77.52
8.20, 0.5200, 1364.65, 99.894
1.182, 515.9, 1059.98, 77.59
8.25, 0.5079, 1364.67, 99.895
1.184, 510.3, 1061.01, 77.67
8.30, 0.4961, 1364.70, 99.897
1.186, 518.7, 1062.04, 77.74
8.35, 0.4847, 1364.72, 99.899
1.188, 507.5, 1063.07, 77.82
8.40, 0.4737, 1364.74, 99.901
1.190, 508.5, 1064.08, 77.89
8.45, 0.4629, 1364.77, 99.903
1.192, 516.1, 1065.11, 77.97
8.50, 0.4525, 1364.79, 99.904
1.194, 514.5, 1066.14, 78.04
8.55, 0.4423, 1364.81, 99.906
1.196, 508.4, 1067.16, 78.12
8.60, 0.4324, 1364.84, 99.907
1.198, 494.3, 1068.16, 78.19
8.65, 0.4228, 1364.86, 99.909
1.200, 500.3, 1069.16, 78.26
8.70, 0.4135, 1364.88, 99.911
1.202, 506.8, 1070.16, 78.34
8.75, 0.4044, 1364.90, 99.912
1.204, 494.8, 1071.17, 78.41
8.80, 0.3956, 1364.92, 99.913
1.206, 503.9, 1072.16, 78.48
8.85, 0.3870, 1364.94, 99.915
1.208, 489.0, 1073.16, 78.56
8.90, 0.3787, 1364.96, 99.916
1.210, 488.2, 1074.14, 78.63
8.95, 0.3706, 1364.98, 99.918
1.212, 493.3, 1075.12, 78.70
9.00, 0.3627, 1364.99, 99.919
1.214, 494.2, 1076.10, 78.77
9.05, 0.3550, 1365.01, 99.920
1.216, 493.0, 1077.09, 78.84
9.10, 0.3475, 1365.03, 99.922
1.218, 489.7, 1078.07, 78.92
9.15, 0.3402, 1365.05, 99.923
1.220, 487.5, 1079.05, 78.99
9.20, 0.3331, 1365.06, 99.924
1.222, 485.4, 1080.02, 79.06
9.25, 0.3262, 1365.08, 99.925
1.224, 484.6, 1080.99, 79.13
9.30, 0.3195, 1365.10, 99.927
1.226, 481.7, 1081.96, 79.20
9.35, 0.3129, 1365.11, 99.928
1.228, 477.1, 1082.92, 79.27
9.40, 0.3065, 1365.13, 99.929
1.230, 479.2, 1083.87, 79.34
9.45, 0.3003, 1365.14, 99.930
1.232, 475.0, 1084.83, 79.41
9.50, 0.2942, 1365.16, 99.931
1.234, 472.9, 1085.78, 79.48
9.55, 0.2883, 1365.17, 99.932
1.236, 471.9, 1086.72, 79.55
9.60, 0.2825, 1365.19, 99.933
1.238, 470.3, 1087.66, 79.62
9.65, 0.2769, 1365.20, 99.934
1.240, 465.3, 1088.60, 79.69
9.70, 0.2714, 1365.21, 99.935
1.242, 464.2, 1089.53, 79.75
9.75, 0.2661, 1365.23, 99.936
1.244, 461.9, 1090.46, 79.82
9.80, 0.2608, 1365.24, 99.937
1.246, 463.5, 1091.38, 79.89
9.85, 0.2558, 1365.25, 99.938
1.248, 463.3, 1092.31, 79.96
9.90, 0.2508, 1365.27, 99.939
1.250, 462.4, 1093.23, 80.03
9.95, 0.2460, 1365.28, 99.940
1.252, 457.1, 1094.15, 80.09
10, 0.2412, 1365.29, 99.941
1.254, 457.4, 1095.07, 80.16
11, 0.1635, 1365.49, 99.956
1.256, 455.1, 1095.98, 80.23
12, 0.1152, 1365.63, 99.966
1.258, 453.3, 1096.89, 80.29
13, 8.341e-2, 1365.73, 99.973
1.260, 453.0, 1097.79, 80.36
14, 6.188e-2, 1365.80, 99.978
1.262, 449.7, 1098.70, 80.43
15, 4.686e-2, 1365.86, 99.982
1.264, 447.8, 1099.59, 80.49
16, 3.613e-2, 1365.90, 99.985
1.266, 446.7, 1100.49, 80.56
17, 2.830e-2, 1365.93, 99.988
1.268, 441.7, 1101.38, 80.62
18, 2.247e-2, 1365.96, 99.9896
1.270, 445.3, 1102.26, 80.69
19, 1.807e-2, 1365.98, 99.9911
1.272, 445.2, 1103.16, 80.75
20, 1.470e-2, 1365.99, 99.9923
1.274, 443.1, 1104.04, 80.82
25, 6.054e-3, 1366.046, 99.9961
1.276, 445.1, 1104.93, 80.88
30, 2.928e-3, 1366.069, 99.9977
1.278, 444.0, 1105.82, 80.95
35, 1.584e-3, 1366.080, 99.9985
1.280, 435.6, 1106.70, 81.01
40, 9.307e-4, 1366.086, 99.9990
1.282, 401.4, 1107.54, 81.07
50, 3.826e-4, 1366.093, 99.9995
1.284, 425.9, 1108.37, 81.13
60, 1.850e-4, 1366.096, 99.9997
1.286, 432.8, 1109.22, 81.20
80, 5.882e-5, 1366.098, 99.99987
1.288, 431.4, 1110.09, 81.26
100, 2.418e-5, 1366.099, 99.99993
1.290, 425.5, 1110.94, 81.32
120, 1.169e-5, 1366.0995, 99.99996
1.292, 425.4, 1111.80, 81.38
150, 4.807e-6, 1366.0997, 99.99998
1.294, 422.3, 1112.64, 81.45
200, 1.528e-6, 1366.09987, 99.999991
1.296, 422.4, 1113.49, 81.51
250, 6.275e-7, 1366.09993, 99.999995
1.298, 418.4, 1114.33, 81.57
300, 2.950e-7, 1366.09995, 99.999996
1.300, 418.6, 1115.17, 81.63
400, 1.014e-7, 1366.09997, 99.999998
1.302, 413.9, 1116.00, 81.69
1000, 3.384e-9, 1366.1, 100.000000
1.304, 411.1, 1116.82, 81.75
